"DONATE TO FARESHARE HERE - https://fareshare.org.uk/donate/","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLEASE DOWNLOAD THE SPREADSHEET TO FILTER / SORT BY YOUR AREA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IF YOU ARE A BUSINESS WHO WANTS TO ADD AN ENTRY, PLEASE  FILL IN THIS FORM https://forms.gle/5QZ3mw4HJy2GJqeW7 ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLICK HERE TO VIEW A MAP https://odileeds.github.io/FSM-support/map (created by @astronomyblog) ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","Town","City/Region","Postcode","Specific schools?","How to claim","Link to post","More details","","","","","","","","","","","","","","","","","","",""
"Chippy Chippy","Holyhead","Anglesey","LL65 1DD","No","Message on Facebook or 07426726786","https://www.facebook.com/ChippyChippyMon/posts/763579537538254","Sausage chips and beans, or chicken nuggets, chips and beans","","","","","","","","","","","","","","","","","","",""
"La Rondine","Bedford","Bedfordshire","MK40 2HA","No","Call 01234 219443","https://www.facebook.com/larondinebedford/posts/1803496333134102","Free pasta and cakes","","","","","","","","","","","","","","","","","","",""
"New Bombay Restaurant","Bedford","Bedfordshire","MK40 2SR","No","Visit restaurant","https://twitter.com/Newbombaybedfd/status/1319661363615195138?s=20","Sandwiches, fruit, crisps etc for U16s","","","","","","","","","","","","","","","","","","",""
"FACES","Bedford","Bedfordshire","MK41 0PW","No","Visit centre","https://www.facebook.com/FACESBedford/posts/2517233038568048","Free lunches will be  provided free to children from 26th October to 30th October.","","","","","","","","","","","","","","","","","","",""
"Dine With Us Community Larder","Bedford","Bedfordshire","MK40 1JF","No","","https://www.facebook.com/DineWithUsOnTheStreetsCherriesLegacy/posts/696981687613620","We will be offering a pack up comprising of a hot Greggs sausage roll (vegan option available for vegetarians or vegans), a packet of sliced meat, an orange and apple, a drink, a sandwich (choice of egg, ham or jam), a yoghurt, a babybel cheese, a bag of popcorn and a cake or doughnut. ","","","","","","","","","","","","","","","","","","",""
"Friendly Nettle Cafe","Bedford","Bedfordshire","MK42 0GE","No","Visit restaurant","https://www.facebook.com/friendlynettlecafe/posts/384478496256756","Free breakfast","","","","","","","","","","","","","","","","","","",""
"Sacha's Ktichen","Bedford","Bedfordshire","MK41 8LS","No","Message on Facebook","https://www.facebook.com/sachaskitchen/posts/1767391746752568","Free hot dinner","","","","","","","","","","","","","","","","","","",""
"Shortstown Food Bar","Bedford","Bedfordshire","MK42 0GE","No","Visit restaurant","https://www.facebook.com/shortstownfoodbar/posts/1307235036279236","As such we will be offering each school age child a free meal each lunch time next week with a choice of; sausage and chips, chips and gravy or chips and curry sauce. (One meal per child per lunch time).
Free meals available
Wednesday - Friday
12pm - 2pm.","","","","","","","","","","","","","","","","","","",""
"Flitwick Town Council","Flitwick","Bedfordshire","MK45 1AH","No","Message on Facebook","https://www.facebook.com/FlitwickTC/posts/1498888593639497","We will have hot lunches ready for collection between 11am and 12pm on Monday through to Friday.","","","","","","","","","","","","","","","","","","",""
"Roosters Sandwich Bar","Bedford","Bedfordshire","MK40 3JG","No","email us at eat@roostersbedford.co.uk by 8pm","https://www.facebook.com/RoostersBedford/posts/3724295827603435","Please email us at eat@roostersbedford.co.uk by 8pm and we’ll have meals for your children ready at 4pm the following day. ","","","","","","","","","","","","","","","","","","",""
"Loaf Catering and Cafes","Belfast","Belfast","BT12 4LP","No","Visit restaurant","https://www.facebook.com/LovelyLoaf/posts/3792896714088195","Takeaway packed lunch","","","","","","","","","","","","","","","","","","",""
"Zotadelli","Wokingham","Berkshire","RG41 5LT","No","Call 01189776222","https://www.facebook.com/zottadeli/posts/3425919207634125","free take away pack lunches from Mon 26th Oct to Sat 31st Oct (sandwich, piece of fruit, snack and a drink) for kids who access free meals at school. ","","","","","","","","","","","","","","","","","","",""
"The Avenue Deli","Reading","Berkshire","RG31 4UT","No","Message on Facebook","https://www.facebook.com/permalink.php?story_fbid=185505696528621&id=105385791207279","free grab bag","","","","","","","","","","","","","","","","","","",""
"Slough Outreach","Slough","Berkshire","SL3 8XP","No","Call 07832442424","https://www.facebook.com/SloughOutreach/posts/1009113196181153","Fresh meal","","","","","","","","","","","","","","","","","","",""
"Midland Mencap/Weoley Castle Community Church","Birmingham","Birmingham","B29 5LE","No","Visit community centre","https://twitter.com/MidlandMencapUK/status/1319577703658520577?s=20","Free packed lunch","","","","","","","","","","","","","","","","","","",""
